Age (Years),Mileage (Km),Engine_Size (L),Target
0,18028.804124479553,4.224783524015163,0
15,178537.80830612965,4.374949305626897,0
4,299809.2823719213,2.015899498288099,0
2,168962.941523968,1.1244623996694307,0
11,144596.98483399334,3.9571789406590927,0
7,97292.18266914831,1.4253749050230984,0
2,40554.16074200701,2.2596783544518706,1
0,220651.98308019308,1.0152685364973886,0
2,61816.713196760975,3.7266779296064803,0
4,39008.196267948886,1.668528045884885,1
14,129419.9846205012,3.6211296387666327,0
13,239625.84219793373,4.966970468671356,0
2,224794.041695465,1.2906834864400651,0
0,21190.371320710103,1.3083120478058428,0
4,139267.38708566604,2.3615203706666996,1
13,159118.19994099485,4.465546057005368,0
6,195141.26193461753,1.8621194751653274,0
8,196799.3683807523,2.4415112797213903,0
14,112585.68858990523,1.2740216265079183,0
14,170399.77223103662,4.052621165035557,0
9,146913.2557340055,2.6332253710378044,1
12,266074.51517436793,4.036994932243371,0
18,161428.21412729553,4.614431377387181,0
6,135104.48771570768,1.931052588405155,1
16,124323.20765614597,4.229584121359805,0
19,173866.18903287238,1.236375560313013,0
3,242173.2089232648,4.59538955272099,0
4,163828.43966233233,3.6030741902349894,0
6,200188.27664875975,4.496906896553407,0
12,222667.45123742486,1.0007535982263276,0
14,158449.5924142259,1.67632428142397,0
10,130911.03171318499,2.5590375497059683,0
3,263616.28646942263,2.5180116134988744,0
12,128164.29478822817,1.9069215316940427,0
6,141273.14091979834,2.5264477594688004,1
18,297150.68743582425,1.5153948480010193,0
1,5070.069454885951,2.651044517064104,1
9,59714.50832513313,4.209417316637056,0
12,118269.34752631909,2.916280252413405,0
20,280114.0232804496,1.07200035578086,0
5,25658.763195503954,2.6857761663169897,1
11,7798.202920406931,1.1087000643633766,0
11,20541.731613282434,4.864973642827193,0
19,31120.306131017354,1.5098158376914759,0
10,16091.048095846956,3.830753305322475,0
6,146535.4914226689,4.891105291568343,0
0,176323.37613206168,4.3041562066662875,0
0,85147.65646535621,3.7972615005048147,0
19,122494.77827281249,4.357843638003068,0
12,32051.30385787189,4.92719477304251,0
8,104229.28682938451,3.4853779890141183,1
2,159143.1615321843,3.236739227317306,0
6,221020.1831194703,3.5129524418531255,0
5,5987.17680267887,3.13070354704622,1
7,142856.6761286075,3.540356423638875,0
8,92615.84855419025,2.799368831890237,1
4,256582.4373991109,1.8737727315332284,0
0,216088.22799410135,1.4809889060467025,0
18,178787.017668914,1.2733637421290416,0
9,86793.36548054821,2.0532631350128003,1
11,273550.0351069726,1.1844942573429353,0
14,18304.69977999534,3.2686831196775423,0
8,37292.94161033897,2.135313788094081,1
19,120530.89145940503,4.298139232348129,0
16,41709.07940257262,1.2969634919535458,0
16,287142.6307800304,1.9054059773659437,0
19,240406.8500322981,3.9209845883605836,0
11,81399.88222253503,3.3952331855339657,0
6,178623.4975471074,1.2579650849966701,0
1,294787.5019486241,4.508957828648802,0
2,265838.6985487933,4.509047051304718,0
16,182235.54170044843,2.3216320155030954,0
4,271598.5703167048,2.361623373398259,0
16,296809.5483949409,4.956113433400695,0
16,224289.08275361912,3.504704686372553,0
16,24170.99079745374,3.1252660822722365,0
1,123466.1697455188,4.352608734207697,0
1,252158.5919085574,2.1411613534292657,0
4,73017.9127624806,2.7167303735854276,1
0,250039.54273643426,2.0711067019533367,0
0,40499.934800323805,4.156643386354926,0
18,18848.880358604838,3.293397382540872,0
1,118306.73038991862,3.635300280560282,0
20,15835.921540851019,2.009228999357626,0
11,287394.72758008103,1.8809012055092604,0
5,248730.68025921992,2.953498515931755,0
3,241227.05770331316,3.950262996371307,0
10,190784.48728386516,3.1009590300806407,0
16,68815.58679578328,1.1305827101826744,0
5,157886.8081695357,4.4742060252811555,0
4,181195.8513669506,1.2587475740605263,0
19,159884.29275377913,4.8232979348830085,0
1,81768.84354570055,1.100567833109091,0
5,156998.13767284414,3.777801824522835,0
10,149899.97055624484,1.3288282548471266,0
15,298919.05386298365,4.642706317740558,0
15,269743.66367363016,2.857732944902171,0
0,141697.32072360787,1.5500950992680615,1
8,188766.52796586,2.3632627991593864,0
5,225622.12320720742,1.6592987013870482,0
15,15285.222268978348,1.68232764622836,0
2,269001.8251622128,4.792433280685769,0
19,258737.4108432875,2.7809844491391527,0
3,139942.46884324367,4.155209055621438,0
18,120395.08099371204,3.5584222447107274,0
2,85523.0155826129,3.705705449353569,0
18,145619.66435745868,1.526773753888154,0
19,18091.11574230485,1.9367377872619427,0
6,256397.0923373673,4.147001340617748,0
19,15449.598683470795,4.883064825899131,0
8,102070.15278411195,2.050702570394607,1
0,279818.899054102,2.0862750590041594,0
7,221887.73308441855,2.8915885312436194,0
6,88010.3333703704,4.935361251421751,0
17,79531.4827184611,2.0758357833058843,0
7,6499.23124631766,2.6278876385370555,1
0,210235.7163906763,4.565920062494027,0
10,19391.156593586064,1.011684130485448,0
17,162117.74322322482,1.1590638599542782,0
9,288825.98191465467,3.416286708284877,0
2,37293.3137160639,4.629520658851388,0
6,268871.5796355799,1.9554266416077106,0
15,297485.2238677892,2.878567098722836,0
15,23147.52274057434,2.801861206631273,0
19,265457.3493955511,2.8918853843820407,0
16,157243.3110308669,3.4900787829189808,0
1,272421.5472361511,2.878975051962735,0
0,173539.08786627435,2.7898725652898313,0
15,200323.04298143656,2.897153681725042,0
11,165414.77785923277,3.363469765084166,0
4,260025.3996906678,3.1480299534054335,0
4,221503.426091342,4.416543990602017,0
8,158771.7920932224,1.1979874139746665,0
8,261107.43719520635,4.33326828589205,0
2,77359.2320153237,4.375698450446896,0
18,51415.494612245166,2.1396320861238434,0
15,52318.03107237127,2.8514078200634025,0
15,103532.61922984518,2.754153954149742,0
2,75413.55923380017,1.8740393374165212,1
19,279376.6534003729,2.587187388345266,0
0,36221.057679432284,1.1775510886834177,0
19,211202.26772167836,2.1112882911269377,0
10,60820.354236576735,4.266728701802872,0
16,265082.95416725334,2.13824920705159,0
7,288588.0100145477,4.27282667499299,0
3,142313.65258714516,3.1263978584177234,1
5,264326.0866672988,4.51945070944464,0
7,6517.825372640857,3.2991182170576607,1
19,246884.34063538953,1.1186728922589593,0
2,72444.42264985244,3.701680830188357,0
15,273066.88623446354,1.1794142720942746,0
2,5330.4328866322985,2.802388075932536,1
17,169073.61183672832,4.717706777892456,0
13,228207.56211655572,1.6608157573514006,0
17,81313.05755588286,2.5594894117661764,0
1,61974.19505325145,3.9194412353939136,0
2,29808.97621805547,4.529034224379391,0
15,101297.90506847143,3.6837720189700316,0
8,170154.07213110468,2.032693016764677,0
3,39173.93775017601,3.6984314116648647,0
0,116125.13178610563,2.18691056441636,1
3,7676.359372553865,3.873716919274941,0
0,246510.42904745333,4.816132510340163,0
13,42892.37183749145,3.885573804425153,0
20,88586.16973834657,4.451522011649649,0
15,10436.177027774153,1.0084153727035337,0
19,132511.03124829114,3.8702884989263775,0
7,252835.84330865953,4.318350227461002,0
6,120684.60737633299,1.1622349501787257,0
2,57951.71041003085,4.486390909152922,0
16,227341.15604490315,2.0267769132401834,0
0,237698.05965186955,3.661168407912221,0
15,56257.2752157322,4.201419516093626,0
11,232401.962019592,3.650658052237422,0
18,284452.8770356197,1.369139168293029,0
13,54081.38814502034,3.3852860754414733,0
5,232440.36629697998,3.1983346268885744,0
5,214028.74135777567,4.601285072297086,0
12,144704.2970883511,2.6169589185768367,0
18,22086.535864845497,2.2843243883482005,0
7,27034.853238566935,3.999403057745865,0
1,256462.32446360105,2.6507013043335865,0
20,297093.7699614409,3.584384700020252,0
0,204435.41587009255,3.585800360498428,0
14,136557.70056804482,4.552156257440471,0
0,196034.22480356274,3.3947696092763895,0
4,180346.77847242088,3.0086144398479475,0
15,118165.61681965843,1.555485305586068,0
18,24359.71264933382,1.4629504267148215,0
3,247346.3194851951,1.6172862611323175,0
2,114690.89112542376,1.687393925308378,1
16,246541.76479034263,3.5515083706545356,0
16,79490.08115807276,3.963925001098314,0
11,5303.696554461852,3.119966091705675,0
13,51886.79356664317,4.316070930181964,0
20,143219.1279467324,4.965052906934533,0
5,283569.5723125598,4.280050516477424,0
2,35147.1178096471,3.7795294947038367,0
8,256991.88346616196,3.1299707977485864,0
4,160472.1083824993,2.795412286698833,0
16,248646.6259109695,1.3375695221781694,0
13,93020.45714204782,2.5974749935787638,0
20,252784.4135783792,4.640538547128537,0
2,232982.72010495732,4.232090519626212,0
0,72865.83649427301,1.8642054600467488,1
19,43743.86229076653,2.8664311387888635,0
20,261076.0251470264,4.266892810234179,0
0,289154.8127648389,1.26953821914209,0
2,14234.18255551729,2.5495703426746372,1
17,220724.66975723725,4.4073649474957906,0
9,273309.7307296064,2.615591456680495,0
2,257921.22716728708,1.3104585789257635,0
7,289533.5393197115,3.170137474129006,0
13,229227.75313923866,4.446969979673181,0
17,135478.13490236853,3.361142171812639,0
14,97025.83719606348,1.9051164328569272,0
1,99619.1084292476,2.5369584805495253,1
9,218704.6884211645,2.8004934447277288,0
1,225021.91854913448,3.3170654152821073,0
16,64105.947346870234,4.037404103010452,0
7,261096.22997970664,1.3954944705625416,0
0,215902.59185966305,4.558608132070265,0
8,171011.3344712979,1.0492388120643024,0
10,144102.07573024125,2.480209338697021,0
15,165253.67770803766,1.1096812398906306,0
6,51977.49279238302,2.571896901381165,1
9,65091.868536500886,3.103250395493295,1
2,31893.524669826544,3.046725546326047,1
17,50329.12125752824,1.6625133881130614,0
12,138839.6222085584,3.582962040382449,0
6,161454.54614983554,1.1791138020186729,0
3,10269.258281104216,4.047627280529662,0
12,240055.3592198881,4.786577735974185,0
19,91779.55213632598,2.3590753086044716,0
0,273991.63031317375,3.0689575268573277,0
7,290415.82276606443,2.5156411122352575,0
13,59710.36802961303,1.0268415612162398,0
15,141318.7007758699,2.5434980115804637,0
13,5363.391374095637,4.1668810370453855,0
11,181506.54321111596,3.383955368733927,0
18,184155.40223748802,1.4050396584606357,0
14,78024.28690299568,4.38855795877514,0
1,169731.7384120434,3.1243413795409714,0
1,71534.34202090195,4.366893446978704,0
18,52443.51337806607,3.3208860751401175,0
16,197198.2427066681,3.2387537793517596,0
19,101148.01186586209,1.4210367407880495,0
9,179127.86197125862,1.6694389325545118,0
5,132807.7909466384,4.888101025986364,0
14,295383.6651838567,1.913946987019083,0
10,49126.2895869319,4.909808471961472,0
4,142056.586007564,3.1276508260970535,1
0,205734.70477600096,1.5431561882557485,0
7,121685.79974459075,1.3972088110147718,0
20,292536.4563018535,1.83545628282296,0
11,217956.85023844586,4.702549320101343,0
11,198810.23798152545,2.656600897312907,0
4,228332.48394531087,2.5817370719716575,0
6,286031.34822142153,2.252825044280696,0
3,272806.50263046887,1.5882474022663535,0
5,218664.1658972915,2.9514047887696258,0
12,226002.6835348785,1.5201911300445548,0
19,48047.01184036791,4.34192094552931,0
14,35323.759325336374,2.481587945101226,0
2,173416.82804402846,2.4992142711271854,0
7,10418.4528974593,2.8960257139326235,1
19,147295.1325577195,2.7765108526630065,0
15,67053.12607606624,4.979431892237287,0
12,107074.88745522767,3.18152448487321,0
17,233862.39705892204,1.3528068151594828,0
9,282665.06374855404,3.42750936630772,0
18,26362.80028317074,1.6063371714795198,0
16,162601.4507630513,1.123750578925368,0
18,265347.378316782,4.882968614708993,0
4,29340.017659924277,4.094155566138255,0
20,248231.64383456597,4.920435969655068,0
8,110551.39852384005,2.9115137920889698,1
11,100017.93715470392,3.1290301245959045,0
20,293352.5839628618,1.673347823676521,0
0,64253.43150937678,1.9876297066703423,1
0,209492.21254269086,4.354196859611313,0
14,247325.0147629106,2.4247425884703766,0
1,17149.131107385147,4.307259895185676,0
15,202763.7102145516,3.836054897148127,0
7,285707.24243482144,1.708683701087462,0
12,41644.890184777505,3.0297854644789686,0
20,269385.2842920863,3.7095492860748673,0
0,180459.10802619613,1.9401488592153004,0
15,186898.35164942982,4.322754042080307,0
6,185818.53158535375,3.179310630180747,0
4,93156.58646950759,1.6609682017704128,1
2,280884.5355133406,3.3319377046584098,0
11,284468.3864761564,4.998855216623657,0
15,189464.8747631146,1.6020859666536542,0
18,236109.70415277634,4.267027720478112,0
4,185616.1058349416,1.8292360127502318,0
13,147897.54203434198,4.129553317840349,0
4,199941.93489827897,3.938311692485653,0
14,168135.42851462774,2.2019575424017295,0
16,181255.3794764194,2.3032924702577993,0
13,236230.60325856428,4.170085567851677,0
19,146866.63027745055,2.8457820475492506,0
4,17022.461297279464,3.923272114847235,0
11,53379.84689190168,1.591936589463339,0
15,134389.12886441383,4.410231127606214,0
15,218823.8351628472,3.8435388667292765,0
20,180017.20125150273,4.627771235339336,0
6,196836.7848326689,1.5294895161398898,0
3,146387.28393000475,3.3720580014423907,1
0,186643.89647296164,3.3964823401613007,0
4,102060.14415532535,2.41384296218713,1
9,143703.8648455162,2.833865698277031,1
4,224562.32435051192,1.1519262531594139,0
3,262190.66979707073,3.983440154508048,0
1,132928.3235171347,3.197289917612696,1
19,17880.18902367155,1.230964207476695,0
9,52693.40052330678,3.723023571841942,0
18,11154.03609100374,2.8671283089247517,0
0,197712.59067501238,1.1378450377,0
4,103032.81447975713,4.8784309073923815,0
12,165031.19753721342,4.796448572357762,0
3,150516.66980122088,3.0516096645887902,0
15,29050.314417965874,1.3746896828236408,0
15,123962.10153153038,4.018484886394367,0
1,70065.53185208536,2.967724400422916,1
16,128427.93765695755,2.2097899131575196,0
19,65055.59270096159,2.965672710114227,0
11,252933.4598516954,3.089776581621858,0
17,56387.03429058482,3.250846796089357,0
2,288430.2626886582,2.764894854621306,0
0,127692.67301334754,3.4230212125562267,1
0,254642.36114561954,4.67493884242551,0
18,190485.6213707538,2.4490723483943646,0
10,221928.33810639702,3.9028658528797964,0
4,231478.5469797002,4.577810227296929,0
11,153929.24015844025,2.8239171030397476,0
2,165273.65439217008,2.7738233455276164,0
0,156628.78100357388,3.408467941419118,0
0,178477.22153657337,3.3656270376899524,0
7,13671.361498169652,4.2263573693051075,0
9,121676.9751054595,2.9059335351131708,1
10,183825.67050054562,4.984491798557764,0
11,181328.45175048,1.237886275469123,0
12,238922.0479086613,1.012671394322807,0
11,198227.75495547202,3.5607932462384952,0
13,297679.32832049835,2.1937396494475068,0
1,88737.08593955028,1.9615295547979352,1
18,110949.55375153829,2.247596320017122,0
17,118234.9098009999,2.024190260419817,0
2,142414.77807097332,1.1231601986417914,0
16,251619.42881545678,4.886132169562355,0
7,74558.6677179669,1.882981953811127,1
9,233920.0610754517,3.936119050357225,0
1,124566.5040102943,4.050385578776702,0
18,182547.3381802925,4.717029592028917,0
8,191599.4573017603,1.12219782837352,0
6,114990.34797073566,4.488193353788031,0
3,156221.48553571253,3.108904723359201,0
20,126844.19652107061,3.5301764398633115,0
17,25394.171925052735,3.5778811084841347,0
12,133963.78970096383,4.279191219938911,0
10,33731.05080329789,2.333629288636442,0
3,124481.13572869485,3.9322047594399736,0
20,179910.92795037566,3.1143124388887884,0
3,175927.39530633274,4.173576057221391,0
9,200473.2773074545,4.962184131080534,0
4,33102.144846614756,1.802604069615045,1
8,197376.35743147918,4.978594566239991,0
2,97083.67672545189,1.359248617131096,0
16,122718.55411044777,1.0092701916192555,0
2,258105.9449071982,1.176647744711325,0
15,7663.969218217324,2.3671296189470468,0
3,178581.72683547862,3.5316253227137366,0
17,181620.62412953173,1.2761181635513985,0
16,122014.63402135078,1.022663258118269,0
6,74923.21784695917,4.748364113835179,0
4,74228.84128715757,4.287706543759718,0
11,265694.352549922,4.236732684556124,0
16,135397.19026594298,4.537697102007908,0
12,102612.36208180572,3.8001370910884176,0
2,137389.3842802639,1.4176165189923258,0
8,202470.1684305116,2.596400752294892,0
16,47998.18763220175,3.892597945858518,0
16,137582.98138805263,2.1213378431660836,0
19,178425.88947756414,3.7496254565449503,0
15,284832.089681173,1.0979937930706094,0
12,79495.69571224868,2.224549363518373,0
18,110978.97063529244,3.1965213451086907,0
16,116910.78402711502,3.528359318024969,0
3,183633.75650524042,3.3081626578476433,0
11,110235.95564680049,3.791025104293718,0
8,162386.0179634102,1.0243549929593563,0
18,235628.14730428366,1.403764799910086,0
11,213088.75026310005,4.47577700911658,0
8,136678.75072121274,3.726994576360645,0
6,259943.77241387984,1.4517265707440452,0
13,169651.37363018954,4.368297749594317,0
19,164272.22265315268,1.9689248712982677,0
18,15085.390952051663,2.913039536780894,0
14,296074.4292053627,1.5807860515386412,0
15,41276.38851623988,3.8404402256868266,0
20,73183.61916615575,3.6674176840570714,0
4,20250.56698625045,1.8444498846645447,1
2,193800.87521688954,4.453603067428007,0
11,71286.8472069406,2.6052240968788487,0
19,58103.07905445343,2.1700603642829672,0
20,31123.89734585621,1.6093183578581418,0
3,35476.142351584625,2.06467205006215,1
20,177477.85663056368,1.088107684895268,0
15,208021.32043064566,3.3330299698244623,0
6,122226.8015969983,4.368922985375791,0
12,146569.6390696616,3.1959217977665673,0
20,207360.48211498032,1.8770958476955029,0
9,10127.038104716492,1.1346767128554909,0
6,100323.54383573217,1.8585122930352114,1
13,292063.8356807522,2.6644857122843693,0
4,176133.10776016308,4.038445714799186,0
2,79996.2510697605,1.7513714101510964,1
10,158910.36375768288,3.8791658134187443,0
10,106082.77899567003,4.467733873407535,0
17,162012.27170375825,2.8157873924334282,0
14,42093.7459829614,4.285727966570374,0
11,44150.82287668683,3.2186293921403824,0
8,47344.996801620895,3.54836334832362,0
9,282246.8386184183,3.1051138413528108,0
11,221205.18091069584,2.852690867005367,0
16,52902.65892538466,1.9386137671033974,0
5,60562.97971085243,2.212776237844184,1
6,220594.69508690853,2.159880475774436,0
13,51068.33421369131,3.253155723815259,0
12,74195.58153377446,1.4798147720955597,0
7,289187.3156820177,4.667166762809341,0
9,80315.4247948874,3.882620581132453,0
8,200181.5433594883,2.6057825236527745,0
17,293696.2297831565,1.6344965781055119,0
1,115417.54630623883,4.527968678886543,0
4,10167.21730430836,4.29511236040466,0
4,77023.4506746004,3.886886210868717,0
5,250108.7714458031,2.0861881896449694,0
18,260059.60660673582,2.6097865497346757,0
7,231713.21253451842,1.4109930098096934,0
15,38367.39662758904,1.7561580989101269,0
12,239675.55965043893,4.1320665492669315,0
0,276009.95011308376,3.8601548754027353,0
19,182179.81505113965,3.3739430519037388,0
16,282558.2301197291,4.582906903704691,0
6,248917.47069500384,3.3330660712521816,0
12,201756.59751231765,2.867871999854443,0
3,175269.6448299657,2.361482985223051,0
3,107829.2318363813,4.76179402294469,0
5,51989.79634662752,1.330861846097414,0
18,183461.40719370954,4.723549488243234,0
11,98842.90831734525,4.306858639724073,0
6,260599.4069206554,1.5197196981428052,0
9,298034.3965207954,3.2599374307010143,0
18,226966.1899715939,4.4661919269963475,0
6,31692.10010967997,3.287236654428615,1
2,90162.25068153824,4.628799286242489,0
12,37187.341370896174,4.77193526726417,0
12,196900.93609855615,2.6895380887372236,0
17,230731.30504395647,2.5092546456252944,0
19,278074.07510981,4.745284615876628,0
7,134260.84219153636,3.7005602445986723,0
8,270905.81662859104,1.4640907253926772,0
6,263977.8919171916,1.1691669968907248,0
0,98572.73644579259,3.2585162039890525,1
2,261325.68453446846,4.720683861753699,0
12,115823.3143051093,4.376994809623273,0
16,92576.43599528284,3.7033909858573457,0
0,196477.02434434596,1.55646339556435,0
5,101872.46222609891,2.0169255349947823,1
20,190911.58075709754,4.502044906210465,0
5,184900.38262211488,1.7312289466276019,0
11,171214.48356779534,2.1137576330017382,0
12,117223.81274867532,1.5184026047817678,0
12,166807.41788718564,3.7044329256576445,0
14,180963.21512069937,4.775929221452838,0
20,165977.63210616464,2.075872126381544,0
15,136103.73856160446,2.901626431400295,0
20,9326.781828647825,3.537358958844817,0
10,178183.20377183953,4.997864992862523,0
4,54691.09361710229,1.4192322599902885,0
3,194559.91083942095,2.9942831980228366,0
2,229006.57673724546,2.5404804796100002,0
18,152631.36619356874,4.463280660889421,0
19,164997.2811690228,2.9038709240466236,0
17,285686.1751014674,1.4439100983405924,0
14,254914.3716049094,3.5376965811463346,0
8,274699.77220568364,4.08312247305552,0
16,245061.055054278,1.0115250066624584,0
13,37130.91084478577,4.435826741682519,0
14,48952.59751120744,1.7440920000226625,0
0,160354.0201943431,3.2082774586135114,0
20,77590.54934540948,2.6631900027498006,0
2,145625.16513714194,3.8786152664421216,0
15,121337.77052641331,2.4846464591429673,0
10,167077.20033698375,4.4790527067268435,0
11,225328.3362600677,3.921985443835161,0
9,216069.81759428597,3.590852684251686,0
15,158764.06908317364,4.184962382251417,0
7,247606.05855103213,4.016092139713529,0
5,132104.31700371986,1.1437546996862133,0
11,269530.7155028361,2.5789374153793125,0
20,26027.679666273354,4.723229189265959,0
7,286624.7088598257,1.5028970759689049,0
3,198134.45902224773,3.948386201728205,0
7,117121.98013647555,4.898367245341319,0
17,63160.46733899882,1.2087945161798865,0
4,146359.05268586197,3.728775522506442,0
8,62394.705339663786,2.8726165652041216,1
3,54067.82428422693,3.3167010214988886,1
16,187118.7684368274,1.3413653459372994,0
8,159309.9937516265,1.172027807467758,0
0,202678.3302102278,3.667466642203687,0
20,279233.7338394868,4.293237719282871,0
19,162016.76293501686,4.128061339731869,0
12,176374.95571252532,3.1752229114649495,0
15,31439.770050707924,1.3994672845447127,0
12,216702.55684304572,3.7521777753440553,0
13,122972.03600722608,1.9675555342165838,0
2,293133.9454054608,4.644274811069534,0
5,247836.33460071977,4.35306143818282,0
17,159131.9069522549,3.8375318683495636,0
18,41350.68298078898,4.795383823324522,0
4,258527.6590177738,1.1256872860450917,0
14,240935.4231500864,3.944801700243048,0
1,59452.61321342473,2.3209711173456213,1
9,92107.09531999147,4.624263542745461,0
17,239055.141153612,2.0667007866479103,0
12,59642.39173148585,3.899425997260068,0
4,275736.9843055563,4.510588078603126,0
0,130235.59043292675,1.1666272735307297,0
0,30676.4939633593,2.5905903183681445,1
17,245645.84983376286,4.049236128087754,0
14,115185.35649632434,2.8196755580303483,0
16,160317.26227536538,2.0690105191743813,0
10,38129.78160130965,1.87922139529276,0
20,5762.284379269804,1.5260730676655117,0
16,193205.6357090228,4.428518239425129,0
12,156976.67524845083,3.301421613006224,0
0,180093.87789132842,1.305539779965824,0
1,239154.4358622523,2.5303212942825417,0
8,195748.74445974373,2.4709346032204396,0
2,56558.165634076264,1.726956762837852,1
0,111427.89313762695,2.7420305018887627,1
20,272237.8759123893,2.328397461572546,0
15,232133.68657424528,2.36721482196873,0
5,169207.93209133158,3.9561062311518347,0
16,80415.27435373532,1.8930535420207852,0
4,94107.84804126454,3.5674398354214216,0
4,220927.6299377622,3.2825984955237395,0
5,256096.4069515674,3.272370049351469,0
2,203070.27751153125,3.6520293845671037,0
20,243811.3428516903,3.193528144782616,0
4,231163.55988411978,4.517020459385538,0
20,49162.67054730253,3.7023203678010392,0
4,130063.71980942409,3.1878530054855525,1
9,50130.221244425986,4.31905248115058,0
9,74394.49751658551,3.424586259733919,1
18,261431.5892720605,2.164576991140716,0
16,144503.12986178874,1.8283796727062849,0
20,162930.64004358495,1.6093111426507152,0
13,57641.559742192774,4.597820850184407,0
8,97120.17688439482,3.8405417271922633,0
13,72922.61968622163,4.749513752657283,0
0,65824.91853293579,3.413167222859772,1
18,193198.4340282112,2.89360352597965,0
12,80780.73505548587,1.2388659558835573,0
12,191444.56837602344,3.686569126184119,0
3,22244.1111620234,3.3288350390729247,1
0,46823.44609049505,4.960835574350486,0
16,85989.37493003698,1.9566351111289721,0
7,181128.84048422903,3.1229494211473434,0
1,204373.1673007759,3.6038293404722905,0
7,135601.5051999605,3.5783646989693745,0
6,136508.31980028254,3.245174171793611,1
